Full Name,Field,Sex,Birth Year,Place of Birth,Edition of First Appearance,QID,date of birth,VIAF,BND,Date of Death 1,Last Name,First Name,Middle Name,ImagePulledInFromWikidata,OccupationsSeparatedByCommas,TopRankOccupation
Thomas Davis,Literature,Male,1814,"Mallow, County Cork, Ireland",8,Q7788880,1814-10-14,52480678,7294,1845-09-16,Davis,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Davis_Young_Irelander.JPG,"writer, poet, politician, journalist",writer
Gilles de Caux de Montlebert,Literature,Male,1682,"Les Ligneries, France",7,Q3106564,1682,2.96E+08,,1733-09-17,De,Caux,,,"poet, playwright",poet
Alfred de Musset,Literature,Male,1810,"Paris, France",10,Q179680,1810-12-11,54151927,,1857-05-02,De,Musset,Alfred,https://commons.wikimedia.org/wiki/File:Alfred_de_musset.jpg,"writer, poet, playwright, novelist, librarian, chess composer",writer
Melchior de Polignac,"Military, Politics, and Law",Male,1661,"Lavoûte-sur-Loire, Haute-Loire, France",8,Q1247737,1661-10-11,89067645,,1742-11-20,de Polignac,Melchoir,,https://commons.wikimedia.org/wiki/File:Portrait_of_Melchior_de_Polignac.jpg,"diplomat, writer, cleric, poet, philologist, politician, Catholic bishop",diplomat
Stephen Decatur,"Military, Politics, and Law",Male,1779,"Berlin, Maryland, United States",5,Q720374,1779-01-05,37201936,,1820-03-22,Decatur,Stephen,,"https://commons.wikimedia.org/wiki/File:Stephen_Decatur,_by_John_Wesley_Jarvis_-_KN-2779.jpg",military officer,military officer
"Marie Anne de Vichy-Chamrond, marquise du Deffand",Society,Female,1697,"Charolles, Saône-et-Loire, France",9,Q297785,1696-09-25,41901817,,1780-08-23,Deffand,Madame du,,https://commons.wikimedia.org/wiki/File:Mme_du_Deffant_CIPA0635.jpg,"woman of letters, salonnière, women letter writer, writer",woman of letters
Daniel Defoe,Literature,Male,1660,"Cripplegate, London, England, United Kingdom",1,Q40946,1660-09-13,39375774,7421,1731-04-24,Defoe,Daniel,,https://commons.wikimedia.org/wiki/File:Daniel_Defoe_Kneller_Style.jpg,"journalist, novelist, prose writer, children's writer, publicist, writer, businessperson, opinion journalist, poet, publisher",journalist
Thomas Dekker,Literature,Male,1572,"London, England, United Kingdom",1,Q336189,1572,39402413,7428,1632-08-25,Dekker,Thomas,,https://commons.wikimedia.org/wiki/File:Dekker_his_dreame_(1620).jpg,"playwright, poet, writer",playwright
Demodocus,"Military, Politics, and Law",Male,-384,"Athens, Greece",7,,-384,,,,Demodocus,,,,,
Demosthenes,"Military, Politics, and Law",Male,-384,"Upper Paiania, ancient Athenian deme",9,Q117253,-384,2.68E+08,,-322-10-12,Demosthenes,,,https://commons.wikimedia.org/wiki/File:Demosthenes_orator_Louvre.jpg,"politician, diplomat, orator, writer",politician
John Denham,Literature,Male,1615,"Dublin, Ireland",1,Q1248337,1615,9928566,7481,1669-03-10,Denham,Sir John,,https://commons.wikimedia.org/wiki/File:Portrait_of_John_Denham_(poet)._Wellcome_L0005212.jpg,"poet, writer, poet lawyer, politician, lawyer",poet
"Thomas Denman, 1st Baron Denman","Military, Politics, and Law",Male,1779,"London, England, United Kingdom",7,Q333102,1779-07-23,11294411,7495,1854-09-26,Denman,Lord,,"https://commons.wikimedia.org/wiki/File:Thomas_Denman,_1st_Baron_Denman_by_Thomas_Barber_(c.1831-1833).jpg","judge, politician, translator",judge
John Dennis,Literature,Male,1658,"London, England, United Kingdom",4,Q326716,1658-09-16,1.01E+08,7503,1734-01-06,Dennis,John,,https://commons.wikimedia.org/wiki/File:John_Dennis_(dramatist).jpg,"writer, playwright, literary critic",writer
Charles Dibdin,Arts,Male,1745,"Southampton, Hampshire, England",5,Q1064116,1745-03-15,22406778,7585,1814-07-25,Dibdin,Charles,,https://commons.wikimedia.org/wiki/File:Charles_Dibdin_by_Thomas_Phillips.jpg,"singer-songwriter, playwright, composer, writer, stage actor, singer",singer-songwriter
Thomas John Dibdin,Literature,Male,1771,"Bloomsbury, Camden, London, England, United Kingdom",5,Q683268,1771-03-21,,7589,1841-09-16,Dibdin,Thomas,,,"writer, songwriter",writer
Charles Dickens,Literature,Male,1812,"Landport, United Kingdom",5,Q5686,1812-02-07,88666393,7599,1870-06-09,Dickens,Charles,,https://commons.wikimedia.org/wiki/File:Dickens_Gurney_head.jpg,"writer, novelist, journalist, social critic, playwright, author, children's writer, editor, prose writer, botanist",writer
John Dickinson,"Military, Politics, and Law",Male,1732,"Talbot County, Maryland, United States",4,Q878687,1732-11-08,28316376,68594,1808-02-14,Dickinson,John,,https://commons.wikimedia.org/wiki/File:JohnDickinson.jpg,"lawyer, politician, writer",lawyer
Franklin J. Dickman,"Military, Politics, and Law",Male,1828,"Petersburg, Virginia, United States",8,Q5491604,1828-08-28,,,1908-02-12,Dickman,Franklin,J,https://commons.wikimedia.org/wiki/File:Franklin_J._Dickman_002.png,"lawyer, politician, judge",lawyer
Diodorus Siculus,History and Philosophy,Male,-90,"Agira, Italy",7,Q171241,-90,56608763,,-30,Diodorus,Siculus,,https://commons.wikimedia.org/wiki/File:Diodoro_siculo_-_storico_di_Agira.jpg,"historian, geographer, mythographer",historian
Diogenes Laërtius,History and Philosophy,Male,180,"Sinop, Turkey",5,Q59138,180,41839141,,240,Diogenes,Laertius,,https://commons.wikimedia.org/wiki/File:Diogenes_Laertius.jpg,"historian, biographer, philosopher, philosophy historian",historian
Dionysius of Halicarnassus,History and Philosophy,Male,-60,"Halicarnassus, ancient Greek",3,Q26204,-60,1.00E+08,,-7,Dionysius of Halicarnassus,,,https://commons.wikimedia.org/wiki/File:Dionigi_di_Alicarnasso.jpg,"historian, writer, orator",historian
Dionysius I of Syracuse,"Military, Politics, and Law",Male,-430,"ancient Syracuse, Italy",9,Q332750,-430,89597856,,-366,Dionysius the Elder,,,https://commons.wikimedia.org/wiki/File:Dionysius_I_of_Syracuse.jpg,politician,politician
Benjamin Disraeli,"Military, Politics, and Law",Male,1804,"London, England, United Kingdom",7,Q82006,1804-12-21,49233448,7689,1881-04-19,Disraeli,Benjamin,,https://commons.wikimedia.org/wiki/File:Benjamin_Disraeli_(1804–1881)_cropped.png,"politician, novelist, writer, biographer, finance minister",politician
John Adams Dix,"Military, Politics, and Law",Male,1798,"Boscawen, New Hampshire, United States",9,Q720259,1798-07-24,69002011,,1879-04-21,Dix,John,A,https://commons.wikimedia.org/wiki/File:JADix-Sarony.jpg,"politician, military officer, lawyer, diplomat, writer",politician
Austin Dobson,Literature,Male,1840,"Plymouth, Devon, England",10,Q3595615,1840-01-18,19836932,32845,1921-09-02,Dobson,Henry,A,https://commons.wikimedia.org/wiki/File:(Henry)_Austin_Dobson_by_Frank_Brooks.jpg,"poet, writer, essayist, biographer",poet
Philip Doddridge,Literature,Male,1702,"London, England, United Kingdom",1,Q2718478,1702-06-26,39427796,7746,1751-10-26,Doddridge,Philip,,https://commons.wikimedia.org/wiki/File:Philip_Doddridge.jpg,"theologian, hymnwriter, writer, university teacher",theologian
Mary Abigail Dodge,Literature,Female,1833,"Hamilton, Massachusetts, United States",10,Q6778774,1833-03-31,25664515,,1896-08-17,Dodge,Mary,A,https://commons.wikimedia.org/wiki/File:Gail_Hamilton's_Life_and_Letters_frontispiece.jpg,"essayist, journalist, writer, opinion journalist, suffragette, feminist",essayist
Mary Mapes Dodge,Literature,Female,1831,"New York City, New York, United States",10,Q2518093,1831-01-26,2469452,,1905-08-21,Dodge,Mary,M,https://commons.wikimedia.org/wiki/File:St_Nicholas-32-2-624-1.jpg,"writer, novelist, children's writer, editor, poet",writer
Lewis Carroll,Literature,Male,1832,"Daresbury, Cheshire, England",10,Q38082,1832-01-27,66462036,7749,1898-01-14,Dodgson,Charles,L,https://commons.wikimedia.org/wiki/File:LewisCarrollSelfPhoto.jpg,"mathematician, logician, photographer, poet, deacon, children's writer, diarist, novelist, writer, autobiographer, philosopher",mathematician
Robert Dodsley,Literature,Male,1703,"Mansfield, Nottinghamshire, England",1,Q3434980,1704-02-13,47589,7755,1764-09-23,Dodsley,Robert,,"https://commons.wikimedia.org/wiki/File:Reynolds,_Sir_Joshua_-_Robert_Dodsley_-_Google_Art_Project.jpg","bookseller, writer, playwright, poet",bookseller
Charles Fletcher Dole,Society,Male,1845,"Brewer, Maine, United States",10,Q5077709,1845,31036098,,1927,Dole,Charles,F,https://commons.wikimedia.org/wiki/File:Charles_Fletcher_Dole_(1845–1927)_c._1908.png,"orator, writer",orator
Alfred Domett,"Military, Politics, and Law",Male,1811,"Camberwell, Lambeth, England",8,Q1360069,1811-05-20,7025282,7786,1887-11-02,Domett,Alfred,,https://commons.wikimedia.org/wiki/File:Alfred_Domett_c1870-1887.jpg,"politician, poet, barrister, writer",politician
John Donne,Literature,Male,1572,"London, England, United Kingdom",1,Q140412,1572,73852666,7819,1631-03-31,Donne,Dr. John,,https://commons.wikimedia.org/wiki/File:John_Donne_by_Isaac_Oliver.jpg,"poet, translator, lawyer, songwriter, politician, writer, pastor, Christian minister, jurist",poet
Julia C. R. Dorr,Literature,Female,1825,"Charleston, South Carolina, United States",10,Q13563148,1825-02-13,6330366,,1913,Dorr,Julia,C,https://commons.wikimedia.org/wiki/File:Julia_Dorr.jpg,"writer, novelist, poet",writer
Sarah Doudney,Literature,Female,1841,"Portsea, Portsmouth, Hampshire, England, United Kingdom",10,Q4945138,1841-01-15,28688419,55573,1926-12-08,Doudney,Sarah,,https://commons.wikimedia.org/wiki/File:Sarah_Doudney_signed.jpg,"writer, novelist, short story writer, hymnwriter",writer
Bartholomew Dowling,Literature,Male,1823,"Listowel, County Kerry, Ireland",8,Q4865243,1823,,,1863-11-20,Dowling,Bartholomew,,,poet,poet
Joseph Rodman Drake,Literature,Male,1795,"New York City, New York, United States",1,Q1502217,1795-08-07,2.36E+08,,1820-09-21,Drake,Joseph,Rodman,https://commons.wikimedia.org/wiki/File:JosephRodmanDrake.jpg,"poet, writer",poet
Michael Drayton,Literature,Male,1563,"Hartshill, United Kingdom",5,Q138540,1563,19758771,8042,1631-12-23,Drayton,Michael,,https://commons.wikimedia.org/wiki/File:Portrait_of_Michael_Drayton_by_Sylvester_Harding.jpg,"poet, writer",poet
William Drennan,Other Sciences,Male,1754,"Belfast, Ireland",7,Q8007996,1754-05-23,1.07E+08,8046,1820-02-05,Drennan,William,,,"physician, poet",physician
Thomas Drummond,Industry and Finance,Male,1797,"Edinburgh, Scotland, United Kingdom",9,Q969910,1797-10-10,18005136,8084,1840-04-15,Drummond,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Drummond.jpg,"civil engineer, politician, inventor",civil engineer
William Drummond of Hawthornden,Literature,Male,1585,"Midlothian, Scotland",9,Q544953,1585-12-13,6176613,8085,1649-12-04,Drummond,William,,"https://commons.wikimedia.org/wiki/File:Anonymous_-_William_Drummond_of_Hawthornden,_1585_-_1649._Poet_-_PG_1096_-_National_Galleries_of_Scotland.jpg","poet, writer, historian",poet
John Dryden,Literature,Male,1631,"Aldwincle, Northamptonshire, United Kingdom",1,Q213355,1631-08-09,68937979,8108,1700-05-01,Dryden,John,,"https://commons.wikimedia.org/wiki/File:John_Dryden_(Richardson,_c._1730s).jpg","playwright, translator, poet, literary critic, hymnwriter, writer",playwright
Guillaume de Salluste Du Bartas,Literature,Male,1544,"Monfort, Gers, France",9,Q2087052,1544,73852818,,1590-08-28,Du Bartas,,,https://commons.wikimedia.org/wiki/File:Sallusti_deu_Bartàs.jpg,"poet, diplomat, military personnel, writer",poet
Jean-Andoche Junot,"Military, Politics, and Law",Male,1771,"Bussy-le-Grand, Côte-d'Or, France",9,Q353907,1771-09-24,1.00E+08,,1813-07-29,Duc D’Abrantes,,,"https://commons.wikimedia.org/wiki/File:Junot,_par_Appiani.png","military officer, military personnel",military officer
François de La Rochefoucauld,Literature,Male,1613,"Paris, France",1,Q273708,1613-09-15,46763296,,1680-03-17,Duc de Rochefoucauld,Francois,,https://commons.wikimedia.org/wiki/File:François_de_La_Rochefoucauld.jpg,"memoirist, writer, military personnel",memoirist
"Helen Blackwood, Baroness Dufferin and Claneboye",Literature,Female,1807,"England, United Kingdom",7,Q5701894,1807-01-18,1.01E+08,25366,1867-06-13,Dufferin,Lady,,https://commons.wikimedia.org/wiki/File:Helen_Blackwood00.jpg,"composer, poet, writer",composer
"Arthur Wellesley, 1st Duke of Wellington","Military, Politics, and Law",Male,1769,"Dublin, Ireland",7,Q131691,1769-05-01,2465308,29001,1852-09-14,Duke of Wellington,,,"https://commons.wikimedia.org/wiki/File:Sir_Thomas_Lawrence_-_Arthur_Wellesley,_1st_Duke_of_Wellington_-_WM.1567-1948_-_Apsley_House.jpg","politician, diplomat, military officer",politician
Alexandre Dumas,Literature,Male,1802,"Villers-Cotterêts, Aisne, France",9,Q38337,1802-07-24,51688902,,1870-12-05,Dumas,Alexandre,,https://commons.wikimedia.org/wiki/File:Alexander_Dumas_père_par_Nadar_-_Google_Art_Project.jpg,"novelist, playwright, writer",novelist
DNE,,Male,1711,,8,,,,,1730,Duncombe,Lewis,,,,
John Sullivan Dwight,Literature,Male,1813,"Boston, Massachusetts, United States",10,Q6259634,1813-05-13,,,1893-09-05,Dwight,John,S,https://commons.wikimedia.org/wiki/File:John_S._Dwight_Boston.jpg,"writer, music critic, journalist, translator",writer
Timothy Dwight IV,History and Philosophy,Male,1752,"Northampton, Northamptonshire, England, United Kingdom",7,Q325553,1752-05-14,22371861,,1817-01-11,Dwight,Timothy,,https://commons.wikimedia.org/wiki/File:Timothy_Dwight_IV.jpg,"poet, politician, theologian, Christian minister, writer",poet
John Dyer,Literature,Male,1699,"Llanfynydd, Wales",1,Q3397435,1699,,8350,1757-12-15,Dyer,John,,https://commons.wikimedia.org/wiki/File:John_Dyer_Dalziel.jpg,"poet, writer, painter",poet
Edward Dyer,Literature,Male,1543,"Glastonbury, Somerset, England",7,Q5342682,1543,18580778,8346,1607,Dyer,Sir Edward,,,"poet, politician, writer",poet
"Philip Stanhope, 4th Earl of Chesterfield","Military, Politics, and Law",Male,1694,"London, England, United Kingdom",5,Q332487,1694-09-22,73862914,26255,1773-03-24,Earl of Chesterfield,,,"https://commons.wikimedia.org/wiki/File:Philip_Dormer_Stanhope,_4th_Earl_of_Chesterfield_by_William_Hoare.jpg","diplomat, politician, writer",diplomat
"John Wilmot, 2nd Earl of Rochester",Literature,Male,1647,"Ditchley, Oxfordshire",1,Q358912,1647-04-01,34465786,29623,1680-07-26,Earl of Rochester,,,https://commons.wikimedia.org/wiki/File:John_Wilmot.jpg,"poet, writer, playwright",poet
"Wentworth Dillon, 4th Earl of Roscommon",Literature,Male,1637,"Dublin, Ireland",1,Q2522174,1637,28000168,7667,1685-01-18,Earl of Roscommon,,,https://commons.wikimedia.org/wiki/File:4thEarlOfRoscommon.jpg,"poet, writer",poet
"Anthony Ashley Cooper, 1st Earl of Shaftesbury","Military, Politics, and Law",Male,1621,"Dorset, England, United Kingdom",5,Q336002,1621-07-22,25404031,6208,1683-01-21,Earl of Shaftesbury,,,"https://commons.wikimedia.org/wiki/File:Anthony_Ashley-Cooper,_1st_Earl_of_Shaftesbury.jpg","politician, judge, writer",politician
Dorman Bridgman Eaton,"Military, Politics, and Law",Male,1823,"Hardwick, Vermont, United States",10,Q23022242,1823-06-27,16241426,,1899-12-23,Eaton,Dorman,B,https://commons.wikimedia.org/wiki/File:Dorman_B._Eaton.jpg,lawyer,lawyer
Richard Edwardes,Literature,Male,1525,"Yeovil, England, United Kingdom",8,Q712542,1525-03-25,12495034,8552,1566-10-31,Edwards,Richard,,,"composer, playwright, poet",composer
Thomas Edwards,Literature,Male,1699,"Lambeth, London, England",9,Q7789288,1699,20110442,8558,1757,Edwards,Thomas,,,"poet, literary critic",poet
John Edwin,Arts,Male,1749,"London, England, United Kingdom",9,Q6231418,1749-08-10,55533963,8570,1790-10-31,Edwin,John,,,stage actor,stage actor
George Eliot,Literature,Female,1819,"Nuneaton, Warwickshire, England",10,Q131333,1819-11-22,89000553,6794,1880-12-22,Eliot,George,,"https://commons.wikimedia.org/wiki/File:George_Eliot,_por_François_D'Albert_Durade.jpg","novelist, translator, philosopher, writer, poet, journalist, essayist, editor",novelist
Jared Eliot,Religion,Male,1685,"Guilford, Connecticut, United States",9,Q6159950,1685,17655530,68547,1763,Elliot,Jared,,https://commons.wikimedia.org/wiki/File:Jared_Eliot_(page_71_crop).jpg,Christian minister,Christian minister
Jean Elliot,Literature,Female,1727,"Scotland, United Kingdom",9,Q4946507,1727,,8665,1805-03-29,Elliott,Jane,,,"poet, writer",poet
Henry Ellis,Literature,Male,1777,"London, England, United Kingdom",9,Q768291,1777-11-29,27181148,8696,1869-01-15,Ellis,Henry,,https://commons.wikimedia.org/wiki/File:Henry_Ellis.jpg,librarian,librarian
George Ellis,"Military, Politics, and Law",Male,1753,"United Kingdom,",8,Q5538967,1753-12-19,27099724,8692,1815-04-10,Ellis,Georgs,,,"literary historian, politician, poet, plantation owner, writer",literary historian
Ralph Waldo Emerson,Literature,Male,1803,"Boston, Massachusetts, United States",2,Q48226,1803-05-25,27079964,,1882-04-27,Emerson,Ralph,Waldo,https://commons.wikimedia.org/wiki/File:Ralph_Waldo_Emerson_ca1857_retouched.jpg,"philosopher, poet, writer, essayist, diarist, biographer, Unitarian pastor, Christian minister, orator, abolitionist",philosopher
Robert Emmet,"Military, Politics, and Law",Male,1778,"Dublin, Ireland",4,Q558750,1780-03-04,57548500,8796,1803-09-20,Emmet,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Emmet--The_Irish_Patriot.jpg,politician,politician
Thomas Dunn English,"Military, Politics, and Law",Male,1819,"Philadelphia, Pennsylvania, United States",8,Q543060,1819-06-29,50560346,,1902-04-01,English,Thomas,Dunn,https://commons.wikimedia.org/wiki/File:TDEnglish.jpg,"politician, playwright, writer, lawyer, journalist",politician
Epictetus,History and Philosophy,Male,1950,"Hierapolis, ancient Phrygia (now PamUnited Kingdomkale, Turkey)",9,Q183144,50,1.00E+08,,138,Epictetus,,,"https://commons.wikimedia.org/wiki/File:Epictetus_from_L._Annaei_Senecae_philosophi_Opera,_1605,_title_page_detail.png","philosopher, writer",philosopher
Erasmus,Religion,Male,1466,"Rotterdam, Netherlands",4,Q43499,1466-10-28,87673996,39358,1536-07-12,Erasmus,,,https://commons.wikimedia.org/wiki/File:Holbein-erasmus.jpg,"translator, philosopher, theologian, essayist, Bible translator, writer, Lady Margaret's Professor of Divinity, latinist, Latin Catholic priest, university teacher",translator
Henri Estienne,Literature,Male,1528,"Paris, France",7,Q664748,1531,79024744,,1598,Estienne,Henri,,https://commons.wikimedia.org/wiki/File:Hotel_de_ville_paris033.jpg,"lexicographer, printer, translator, classical philologist",lexicographer
Euripides,Literature,Male,-480,"Salamis Island, Greece",3,Q48305,-480,2.65E+08,,-40,Euripides,,,https://commons.wikimedia.org/wiki/File:Euripides_Pio-Clementino_Inv302.jpg,"tragedy writer, playwright, writer, poet, philosopher",tragedy writer
David Everett,Literature,Male,1769,"Princeton, Massachusetts, United States",1,Q5233475,1769,1348434,,1813-12-21,Everett,David,,,"editor, journalist, writer",editor
Edward Everett,"Military, Politics, and Law",Male,1794,"Boston, Massachusetts, United States",8,Q434905,1794-04-11,74647197,,1865-01-15,Everett,Edward,,"https://commons.wikimedia.org/wiki/File:Edward_Everett,_1794-1865,_three-quarter_length_portrait,_standing,_facing_left.jpg","politician, diplomat, university teacher, writer",politician
Frederick William Faber,Religion,Male,1814,"Calverley, West Yorkshire, United Kingdom",9,Q1286149,1814-06-28,61641597,9050,1863-11-26,Faber,Frederick,W,https://commons.wikimedia.org/wiki/File:Frederick_William_Faber.jpg,"theologian, poet, hagiographer, hymnwriter, Catholic priest, writer",theologian
Catherine Maria Fanshawe,Literature,Female,1765,"United Kingdom,",8,Q5052806,1765-07-06,33546475,9147,1834-04-17,Fanshawe,Catherine,M,,"poet, etcher, writer",poet
George Farquhar,Arts,Male,1677,"Derry, Northern Ireland",4,Q517634,1677,61545511,9178,1707-04-29,Farquhar,George,,https://commons.wikimedia.org/wiki/File:George_Farquhar.jpg,"playwright, writer, actor, stage actor",playwright
François Fénelon,Religion,Male,1651,"Sainte-Mondane, Dordogne, France",7,Q310002,1651-08-06,61539997,,1715-01-07,Fénelon,,,https://commons.wikimedia.org/wiki/File:François_de_Salignac_de_la_Mothe-Fénelon.PNG,"philosopher, theologian, writer, poet, Catholic priest, Catholic bishop",philosopher
John Ferriar,Other Sciences,Male,1761,"Jedburgh, Roxburghshire, Scotland, United Kingdom",5,Q6233035,1761,72173157,9368,1815-02-04,Ferriar,John,,https://commons.wikimedia.org/wiki/File:John_Ferriar.jpg,"physician, poet, literary critic, pathologist",physician
Nathan Field,Arts,Male,1587,"London, England, United Kingdom",9,Q935523,1587-10-17,8181579,9391,1620,Field,Nathaniel,,https://commons.wikimedia.org/wiki/File:Nathan_Field.JPG,"playwright, actor",playwright
Henry Fielding,Literature,Male,1707,"Sharpham, United Kingdom",5,Q34190,1707-04-22,61545697,9400,1754-10-08,Fielding,Henry,,https://commons.wikimedia.org/wiki/File:Henry_Fielding_MET_DP825191.jpg,"writer, journalist, jurist, judge, novelist, playwright, poet lawyer, magistrate, justice of the peace",writer
James Thomas Fields,Literature,Male,1817,"Portsmouth, New Hampshire, United States",10,Q4483821,1817-12-31,1254825,,1881-04-24,Fields,James,T,https://commons.wikimedia.org/wiki/File:JamesTFields.jpg,"publisher, journalist, poet, writer",publisher
Francis Miles Finch,"Military, Politics, and Law",Male,1827,"Ithaca, New York, United States",9,Q5481928,1827-06-09,67902458,,1907-07-31,Finch,Francis,M,https://commons.wikimedia.org/wiki/File:Francis_Miles_Finch.jpg,"lawyer, judge, poet, writer",lawyer
Ferdowsi,Literature,Male,940,"Tus, ancient city in Iran",8,Q43459,940,1.01E+08,,1020,Firdousi,,,https://commons.wikimedia.org/wiki/File:Ferdowsi_Square_(Tehran).jpg,"poet, writer",poet
Edward FitzGerald,Literature,Male,1809,"Woodbridge, Suffolk, England, United Kingdom",10,Q532457,1809-03-31,59091022,9548,1883-06-14,FitzGerald,Edward,,https://commons.wikimedia.org/wiki/File:Edward_FitzGerald.jpg,"translator, poet, writer, artist, drawer, lawyer",translator
John Fletcher,Literature,Male,1579,"Rye, East Sussex, England",4,Q312444,1579-11-30,12323361,9730,1625-08-01,Fletcher,John,,https://commons.wikimedia.org/wiki/File:John_Fletcher_(1).JPG,"playwright, poet, writer",playwright
Phineas Fletcher,Literature,Male,1582,"Kent, England, United Kingdom",7,Q2745639,1582-04-08,34576203,9738,1650-12-13,Fletcher,Phineas,,,poet,poet
Andrew Fletcher,"Military, Politics, and Law",Male,1655,"East Saltoun and West Saltoun, East Lothian, Scotland, United Kingdom",1,Q2846602,1655,74007847,9720,1716,Fletcher,Andrew,,https://commons.wikimedia.org/wiki/File:AndrewFletcher.jpg,politician,politician
Samuel Foote,Arts,Male,1720,"Truro, Cornwall, England, United Kingdom",5,Q766758,1720-01-27,29561715,9808,1777-10-21,Foote,Samuel,,https://commons.wikimedia.org/wiki/File:Samuel_Foote_by_Jean_François_Colson.jpg,"playwright, impresario, stage actor, writer, actor, theatre manager",playwright
John Ford,Literature,Male,1586,"Devon, England, United Kingdom",9,Q503798,1586-04-17,44323561,9861,1639,Ford,John,,,"playwright, poet, writer, actor, stage actor",playwright
James Fordyce,Literature,Male,1720,"Aberdeen, Scotland, United Kingdom",8,Q540506,1720,957491,9879,1796-10-01,Fordyce,James,,https://commons.wikimedia.org/wiki/File:James_Fordyce.jpg,"poet, theologian, preacher",poet
John Fortescue,"Military, Politics, and Law",Male,1394,"Devon, England, United Kingdom",7,Q568395,1394,2.88E+08,9944,1476,Fortescue,Sir John,,"https://commons.wikimedia.org/wiki/File:Portrait_of_Sir_John_Fortescue_by_William_Faithorne,_from_Fortescutus_Illustratus_(1663)_by_Edward_Waterhouse.jpg","judge, writer, lawyer, politician",judge
Sam Walter Foss,Literature,Male,1858,"Candia, Rockingham County, New Hampshire, United States",10,Q5938568,1858-06-19,75276121,,1911-02-26,Foss,Sam,W,https://commons.wikimedia.org/wiki/File:Sam_Walter_Foss.jpg,"writer, librarian, poet",writer
Stephen Foster,Arts,Male,1826,"Lawrenceville, Pittsburgh, Pennsylvania, United States",10,Q305202,1826-07-04,71577893,,1864-01-13,Foster,Stephen,C,https://commons.wikimedia.org/wiki/File:Stephen_Foster.jpg,"songwriter, composer, poet, lyricist, chansonnier, singer-songwriter, writer, musician, singer",songwriter
Joseph Fouché,"Military, Politics, and Law",Male,1759,"Le Pellerin, Loire-Atlantique, France",1,Q216958,1759-05-21,32060105,,1820-12-26,Fouché,Joseph,,https://commons.wikimedia.org/wiki/File:Fouché_Joseph_Duke_of_Otranto.jpg,"politician, diplomat, essayist, lawyer, teacher",politician
Edouard Fournier,Literature,Male,1819,"Orléans, Centre-Val de Loire, France",7,Q3579842,1819-06-15,85000,,1880-05-10,Fournier,,,https://commons.wikimedia.org/wiki/File:Édouard_Fournier_-_photo_atelier_Nadar.jpg,"historian, playwright, bibliographer, librarian, writer",historian
John Foxe,History and Philosophy,Male,1516,"Boston, Lincolnshire, England, United Kingdom",7,Q380961,1516,32005978,10050,1587-04-18,Foxe,John,,https://commons.wikimedia.org/wiki/File:John_Foxe_from_NPG_cleaned.jpg,"theologian, hagiographer, historian, philosopher, writer",theologian
Francis I of France,"Military, Politics, and Law",Male,1494,"Cognac, Charente, France",3,Q129857,1494-09-12,88805531,,1547-03-31,Francis,I,,https://commons.wikimedia.org/wiki/File:François_Ier_Louvre.jpg,politician,politician
Richard Franck,Arts,Male,1858,"Cologne, North Rhine-Westphalia, Germany",8,Q683134,1858-01-03,71464749,,1938-01-22,Franck,Richard,,,"composer, pianist",composer
Benjamin Franklin,"Military, Politics, and Law",Male,1706,"Boston, Massachusetts, United States",1,Q34969,1706-01-17,56609913,52466,1790-04-17,Franklin,Benjamin,,https://commons.wikimedia.org/wiki/File:Joseph_Siffrein_Duplessis_-_Benjamin_Franklin_-_Google_Art_Project.jpg,"politician, diplomat, writer",politician
DNE,,,,,8,,,,,,Franklin,Kate,,,,
Philip Freneau,Literature,Male,1752,"New York City, New York, United States",8,Q1353873,1752-01-02,156130,68598,1832-12-18,Freneau,Philip,,https://commons.wikimedia.org/wiki/File:Philip_freneau.jpg,"poet, writer, journalist, editor",poet
John Hookham Frere,"Military, Politics, and Law",Male,1769,"London, England, United Kingdom",7,Q6239771,1769-05-21,1141974,10174,1846-01-07,Frere,J,Hookham,"https://commons.wikimedia.org/wiki/File:John_Hookham_Frere,_by_John_Hoppner_10993444.jpg","diplomat, politician, writer",diplomat
"Richard Frothingham, Jr.",History and Philosophy,Male,1812,"Charlestown, Boston, Massachusetts, United States",7,Q7325800,1812-01-31,76694017,,1880-01-29,Frothingham,Richard,,https://commons.wikimedia.org/wiki/File:Richard_Frothingham_Jr._(1812–1880).png,"historian, journalist, editor, politician",historian
Thomas Fuller,History and Philosophy,Male,1608,"Northamptonshire, England, United Kingdom",1,Q1248758,1608,74156025,10236,1661-08-16,Fuller,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Fuller_1841.jpg,"historian, writer",historian
Margaret Fuller,Literature,Female,1810,"Cambridge, Massachusetts, United States",10,Q257953,1810-05-23,9866789,,1850-07-19,Fuller,Margaret,W,https://commons.wikimedia.org/wiki/File:Margaret_Fuller_by_Chappel.jpg,"journalist, translator, reporter, essayist, autobiographer, writer, philosopher, women's rights activist, literary critic, abolitionist",journalist
Thomas Gage,"Military, Politics, and Law",Male,1719,"Firle, East Sussex, England",8,Q581935,1719,14760134,10275,1787-04-02,Gage,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Gage_John_Singleton_Copley.jpeg,"military officer, official, colonial administrator, soldier",military officer
